Objects
100
,,Global Angle Mannequin:Mannequin,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
181,0,0.016023,-0.011906,0.723124,126.342445,167.068604,174.488480
182,0,0.014733,-0.011457,0.722867,126.352844,167.045029,174.484558
183,0,0.014827,-0.011656,0.723071,126.353127,167.056732,174.487305
184,0,0.014628,-0.011713,0.723059,126.340660,167.090836,174.483643
185,0,0.014583,-0.011631,0.722723,126.347649,167.050095,174.481308
186,0,0.013916,-0.011499,0.722623,126.347664,167.069778,174.480972
187,0,0.015841,-0.011821,0.723202,126.342148,167.069214,174.483047
188,0,0.019731,-0.012299,0.723646,126.348198,166.994797,174.422943
189,0,0.014676,-0.011598,0.723121,126.351234,167.069275,174.483017
190,0,0.015304,-0.011688,0.723306,126.329811,167.065216,174.484589
191,0,0.015138,-0.011738,0.723033,126.357559,167.075394,174.501221
192,0,0.014364,-0.011648,0.722863,126.328499,167.057053,174.495377
193,0,0.014961,-0.011700,0.722934,126.331123,167.071808,174.480591
194,0,0.014940,-0.011759,0.723223,126.320305,167.053024,174.479416
195,0,0.019160,-0.012287,0.723682,126.346794,166.979538,174.431076
196,0,0.019781,-0.012319,0.723896,126.354469,166.995865,174.422577
197,0,0.014142,-0.011660,0.722711,126.327621,167.056030,174.483719
198,0,0.015098,-0.011649,0.723053,126.339180,167.063828,174.489334
199,0,0.014989,-0.011636,0.722801,126.339821,167.066620,174.494675
200,0,0.014619,-0.011620,0.722824,126.349510,167.046478,174.476685
201,0,0.015187,-0.011781,0.722971,126.346054,167.057373,174.480179
202,0,0.014707,-0.011720,0.722723,126.348289,167.076080,174.487488
203,0,0.014666,-0.011608,0.722916,126.346916,167.065552,174.485748
204,0,0.019522,-0.012184,0.723700,126.359238,167.008026,174.425507
205,0,0.015222,-0.011785,0.722939,126.361832,167.083344,174.485535
206,0,0.015078,-0.011549,0.722830,126.344460,167.048782,174.488342
207,0,0.014870,-0.011760,0.723121,126.336365,167.078339,174.499634
208,0,0.020010,-0.012340,0.723623,126.366615,166.991486,174.415985
209,0,0.014956,-0.011598,0.723071,126.338226,167.042664,174.483200
210,0,0.019300,-0.012251,0.723547,126.358315,166.984619,174.426102
211,0,0.015521,-0.011882,0.723237,126.351234,167.024826,174.510269
212,0,0.014617,-0.011511,0.722840,126.351433,167.053345,174.468277
213,0,0.014195,-0.011627,0.722660,126.335609,167.067551,174.490677
214,0,0.014589,-0.011695,0.723003,126.339195,167.082932,174.492294
215,0,0.015513,-0.011918,0.723108,126.358017,167.078506,174.492767
216,0,0.014896,-0.011548,0.722712,126.341492,167.046982,174.479462
217,0,0.014470,-0.011568,0.722792,126.332314,167.051910,174.485947
218,0,0.014047,-0.011584,0.722652,126.337814,167.067612,174.474304
219,0,0.015595,-0.011801,0.722924,126.354637,167.081421,174.497635
220,0,0.014751,-0.011698,0.722821,126.368774,167.079178,174.501007
221,0,0.014737,-0.011735,0.722547,126.351700,167.034256,174.493332
222,0,0.014575,-0.011687,0.722925,126.360817,167.076324,174.494431
223,0,0.014931,-0.011675,0.722873,126.353500,167.058868,174.484390
224,0,0.014345,-0.011732,0.722731,126.360115,167.072662,174.489777
225,0,0.014880,-0.011682,0.722853,126.342323,166.997864,174.490768
226,0,0.015281,-0.011709,0.722987,126.347649,167.094589,174.507935
227,0,0.014658,-0.011548,0.722873,126.334671,167.058853,174.485077
228,0,0.014282,-0.011572,0.722660,126.343651,167.063599,174.497223
229,0,0.014594,-0.011721,0.722827,126.354080,167.069153,174.482605
230,0,0.014640,-0.011676,0.722932,126.324371,167.070053,174.482086
231,0,0.014538,-0.011755,0.722804,126.354156,167.089203,174.498581
232,0,0.015031,-0.011782,0.723126,126.351105,167.081406,174.495605
233,0,0.020076,-0.012400,0.723902,126.353966,167.005661,174.433853
234,0,0.015318,-0.011945,0.723026,126.352280,167.029175,174.491135
235,0,0.014618,-0.011520,0.722763,126.357529,167.064911,174.489670
236,0,0.014979,-0.011675,0.723021,126.344833,167.075623,174.485138
237,0,0.014775,-0.011500,0.722737,126.345711,167.049530,174.496597
238,0,0.015183,-0.011796,0.722892,126.337143,167.069717,174.480377
239,0,0.014834,-0.011688,0.722916,126.360970,167.095581,174.499390
240,0,0.014363,-0.011722,0.722738,126.339676,167.085663,174.491302
241,0,0.014654,-0.011562,0.722789,126.345184,167.067703,174.479156
242,0,0.014962,-0.011786,0.722793,126.335876,167.056091,174.493134
243,0,0.015038,-0.011690,0.722815,126.359177,167.055420,174.484695
244,0,0.015035,-0.011612,0.723002,126.351265,167.060364,174.488007
245,0,0.019631,-0.012312,0.723561,126.358208,166.963333,174.417984
246,0,0.014565,-0.011697,0.722842,126.352386,167.093048,174.500946
247,0,0.014429,-0.011446,0.722717,126.347694,167.068756,174.488541
248,0,0.014626,-0.011637,0.722693,126.341400,167.074097,174.487503
249,0,0.014617,-0.011637,0.722930,126.344009,167.053864,174.481277
250,0,0.014408,-0.011632,0.722619,126.354095,167.075500,174.478394
251,0,0.014009,-0.011619,0.722693,126.341995,167.056137,174.468903
252,0,0.020367,-0.012428,0.723821,126.343590,167.010590,174.423782
253,0,0.014512,-0.011624,0.722825,126.342415,167.062622,174.473190
254,0,0.014947,-0.011575,0.722998,126.336319,167.073883,174.489365
255,0,0.014617,-0.011596,0.722810,126.350876,167.070648,174.478790
256,0,0.015891,-0.011923,0.723174,126.350166,167.073990,174.491135
257,0,0.020062,-0.012523,0.724121,126.336586,167.005936,174.432373
258,0,0.015178,-0.011774,0.723118,126.347305,167.082916,174.489502
259,0,0.014799,-0.011696,0.723047,126.341446,167.080780,174.490067
260,0,0.015700,-0.011919,0.722972,126.341835,167.010712,174.488876
261,0,0.014522,-0.011801,0.722776,126.340065,167.071930,174.490250
262,0,0.015168,-0.011611,0.722881,126.353546,167.035812,174.514481
263,0,0.015165,-0.011924,0.723077,126.344055,167.078171,174.480057
264,0,0.014659,-0.011631,0.722897,126.329269,167.058517,174.477493
265,0,0.014714,-0.011673,0.722869,126.350510,167.067841,174.505508
266,0,0.015601,-0.011868,0.722987,126.356888,167.061874,174.492844
267,0,0.019195,-0.012112,0.723605,126.341179,166.975220,174.426163
268,0,0.014990,-0.011749,0.723065,126.352699,167.075577,174.490387
269,0,0.013921,-0.011491,0.722640,126.355186,167.054581,174.488068
270,0,0.014802,-0.011735,0.723027,126.354355,167.076904,174.494385
271,0,0.014549,-0.011676,0.722853,126.348763,167.081299,174.492172
272,0,0.014880,-0.011804,0.722745,126.365616,167.063156,174.490295
273,0,0.015015,-0.011646,0.722965,126.344086,167.071320,174.484039
274,0,0.014620,-0.011709,0.722942,126.355637,167.064117,174.480286
275,0,0.015016,-0.011747,0.722871,126.359238,167.061295,174.479309
276,0,0.014761,-0.011792,0.722972,126.341553,167.077728,174.502502
277,0,0.015357,-0.011903,0.722945,126.361755,167.061615,174.478302
278,0,0.014721,-0.011842,0.722964,126.363930,167.083313,174.496750
279,0,0.013920,-0.011420,0.722437,126.351532,167.043701,174.477936
280,0,0.014753,-0.011807,0.722964,126.348045,167.076233,174.501541
281,0,0.015260,-0.011798,0.723368,126.348183,167.079193,174.489838
282,0,0.015004,-0.011753,0.723231,126.334473,167.061020,174.485855
283,0,0.014780,-0.011676,0.722917,126.347122,167.078888,174.502853
284,0,0.014522,-0.011608,0.722795,126.353264,167.068878,174.476471
285,0,0.014686,-0.011587,0.723057,126.326996,167.054153,174.490967
286,0,0.014478,-0.011577,0.722769,126.352760,167.059326,174.484299
287,0,0.015115,-0.011655,0.722744,126.336739,167.041580,174.486221
288,0,0.015058,-0.011909,0.723046,126.338394,167.076782,174.489059
289,0,0.014419,-0.011586,0.722787,126.359787,167.077911,174.499405
290,0,0.014948,-0.011652,0.723084,126.347366,167.059982,174.492920
291,0,0.014553,-0.011717,0.722927,126.348137,167.090805,174.491653
292,0,0.014038,-0.011577,0.722385,126.373497,167.063293,174.477890
293,0,0.019371,-0.012235,0.723517,126.371040,166.996414,174.414474
294,0,0.014361,-0.011668,0.722744,126.342400,167.083588,174.490341
295,0,0.014154,-0.011694,0.722563,126.353607,167.083054,174.480759
296,0,0.015083,-0.011677,0.723023,126.363800,167.069092,174.504318
297,0,0.019835,-0.012371,0.723817,126.341789,166.964691,174.433929
298,0,0.015211,-0.011892,0.723091,126.333641,167.070724,174.480347
299,0,0.014675,-0.011601,0.722868,126.328064,167.075119,174.496597
300,0,0.014766,-0.011783,0.722948,126.356110,167.046112,174.509048
301,0,0.014371,-0.011698,0.722864,126.337914,167.060944,174.470947
302,0,0.015074,-0.011732,0.722851,126.362534,167.070297,174.487595
303,0,0.014978,-0.011694,0.722661,126.340660,167.012039,174.503571
304,0,0.015318,-0.011850,0.723059,126.343590,167.083664,174.495361
305,0,0.020176,-0.012366,0.723948,126.352608,166.994644,174.426086
306,0,0.016275,-0.011992,0.723291,126.347435,167.056839,174.483521
307,0,0.015108,-0.011717,0.722793,126.358093,167.054810,174.490387
308,0,0.015118,-0.011670,0.722875,126.354736,167.058792,174.498749
309,0,0.013911,-0.011522,0.722706,126.345383,167.055832,174.488434
310,0,0.014278,-0.011691,0.722783,126.339958,167.070282,174.476227
311,0,0.019758,-0.012259,0.723722,126.359093,167.000198,174.438797
312,0,0.015211,-0.011869,0.723165,126.351547,167.059158,174.496826
313,0,0.020172,-0.012367,0.724017,126.350594,166.991959,174.431396
314,0,0.013824,-0.011543,0.722736,126.348091,167.057831,174.484009
315,0,0.015261,-0.011833,0.722930,126.342621,167.066223,174.487976
316,0,0.020052,-0.012209,0.723854,126.361382,166.990799,174.446243
317,0,0.014879,-0.011639,0.722975,126.350296,167.060867,174.473206
318,0,0.015058,-0.011750,0.722874,126.362000,167.033676,174.480118
319,0,0.014500,-0.011643,0.722991,126.324593,167.060394,174.481537
320,0,0.014635,-0.011663,0.722873,126.350777,167.055786,174.479660
321,0,0.015561,-0.011955,0.723059,126.346230,167.042633,174.495834
322,0,0.014243,-0.011626,0.722691,126.353699,167.057510,174.479706
323,0,0.015470,-0.011761,0.723183,126.348747,167.063293,174.486145
324,0,0.014609,-0.011645,0.722804,126.347351,167.049103,174.482666
325,0,0.014698,-0.011682,0.722821,126.352577,167.056076,174.492599
326,0,0.014973,-0.011712,0.722983,126.340416,167.070160,174.491974
327,0,0.014835,-0.011661,0.722779,126.359207,167.057358,174.478516
328,0,0.014245,-0.011638,0.722608,126.360359,167.069443,174.499573
329,0,0.014962,-0.011740,0.722936,126.339363,167.069931,174.481979
330,0,0.014662,-0.011572,0.722749,126.347054,167.056290,174.493469
331,0,0.014414,-0.011479,0.722629,126.349541,167.070267,174.488831
332,0,0.015323,-0.011749,0.722996,126.349541,167.054169,174.482391
333,0,0.015164,-0.011785,0.722955,126.347977,167.089142,174.494522
334,0,0.015024,-0.011799,0.723076,126.330002,167.082199,174.477066
335,0,0.015649,-0.011743,0.723126,126.353729,167.077316,174.505234
336,0,0.019881,-0.012310,0.723613,126.370728,166.984268,174.429947
337,0,0.014667,-0.011762,0.722799,126.364410,167.069550,174.480469
338,0,0.014706,-0.011634,0.723023,126.348274,167.084778,174.504166
339,0,0.015139,-0.011787,0.722954,126.343681,167.077988,174.495178
340,0,0.014153,-0.011564,0.722544,126.358253,167.052048,174.479706
341,0,0.015127,-0.011809,0.723086,126.335487,167.054642,174.477783
342,0,0.019644,-0.012209,0.723760,126.352203,166.995712,174.436813
343,0,0.015204,-0.011812,0.723027,126.332787,167.053543,174.472717
